geoID,geoID2,geography,simpleGeography,meanSunriseTime,q1,q2,q3
310M100US30380,30380,"Lewistown, PA Micro Area","Lewistown, PA",6:42,-13,57,170
310M100US32940,32940,"Meridian, MS Micro Area","Meridian, MS",6:27,17,73,139
310M100US26420,26420,"Houston-Sugar Land-Baytown, TX Metro Area","Houston, TX",6:54,-13,53,121
310M100US38580,38580,"Point Pleasant, WV-OH Micro Area","Point Pleasant, WV",7:00,-17,43,106
310M100US10620,10620,"Albemarle, NC Micro Area","Albemarle, NC",6:53,-19,49,110
310M100US22100,22100,"Farmington, MO Micro Area","Farmington, MO",6:34,-8,65,153
310M100US32420,32420,"Mayagüez, PR Metro Area","Mayag, PR",6:23,38,79,145
310M100US21980,21980,"Fallon, NV Micro Area","Fallon, NV",6:27,8,68,118
310M100US11860,11860,"Atchison, KS Micro Area","Atchison, KS",6:52,-20,42,122
310M100US24820,24820,"Greenville, OH Micro Area","Greenville, OH",7:10,-41,30,116
310M100US15660,15660,"Calhoun, GA Micro Area","Calhoun, GA",7:12,-7,31,92
310M100US18740,18740,"Coshocton, OH Micro Area","Coshocton, OH",6:59,-41,40,131
310M100US37860,37860,"Pensacola-Ferry Pass-Brent, FL Metro Area","Pensacola, FL",6:22,21,80,149
310M100US18060,18060,"Columbus, MS Micro Area","Columbus, MS",6:26,19,73,152
310M100US14940,14940,"Brigham City, UT Micro Area","Brigham City, UT",7:00,-44,40,140
310M100US12380,12380,"Austin, MN Micro Area","Austin, MN",6:43,-22,51,206
310M100US43420,43420,"Sierra Vista-Douglas, AZ Micro Area","Sierra Vista, AZ",6:15,18,83,149
310M100US26940,26940,"Indianola, MS Micro Area","Indianola, MS",6:35,8,60,112
310M100US37500,37500,"Paragould, AR Micro Area","Paragould, AR",6:34,9,64,180
310M100US44900,44900,"Summerville, GA Micro Area","Summerville, GA",7:14,-1,26,83
310M100US43740,43740,"Somerset, PA Micro Area","Somerset, PA",6:48,-19,52,124
310M100US28820,28820,"Kinston, NC Micro Area","Kinston, NC",6:43,-3,58,127
310M100US24900,24900,"Greenwood, MS Micro Area","Greenwood, MS",6:33,19,63,97
310M100US45620,45620,"Thomasville, GA Micro Area","Thomasville, GA",7:09,-19,30,84
310M100US21020,21020,"Elizabeth City, NC Micro Area","Elizabeth City, NC",6:37,-1,64,126
310M100US39700,39700,"Raymondville, TX Micro Area","Raymondville, TX",7:04,-7,35,80
310M100US38060,38060,"Phoenix-Mesa-Glendale, AZ Metro Area","Phoenix, AZ",6:21,11,85,169
310M100US32280,32280,"Martin, TN Micro Area","Martin, TN",6:28,9,72,134
310M100US33140,33140,"Michigan City-La Porte, IN Metro Area","Michigan City, IN",6:19,5,82,177
310M100US27980,27980,"Kahului-Wailuku, HI Micro Area","Kahului, HI",6:20,21,80,178
310M100US32270,32270,"Marshfield-Wisconsin Rapids, WI Micro Area","Marshfield, WI",6:32,6,64,145
310M100US49020,49020,"Winchester, VA-WV Metro Area","Winchester, VA",6:45,-15,59,132
310M100US17200,17200,"Claremont, NH Micro Area","Claremont, NH",6:21,17,84,147
