"Canton-Massillon, OH Metro Area",7512,5634,8509,15229,19247,23988,23141,15195,8458,8399,4583,2751,16189,16196
"Cape Coral-Fort Myers, FL Metro Area",8346,7842,11145,22261,24339,32784,28504,25462,13960,15440,6366,3556,14980,13298
"Cape Girardeau-Jackson, MO-IL Metro Area",1667,1496,2410,4254,4889,6277,6482,3421,1503,2059,1362,492,3168,3425
"Carbondale, IL Micro Area",491,358,890,1153,1803,3283,4513,3026,1512,1723,614,437,2630,2828
"Carlsbad-Artesia, NM Micro Area",1525,1278,1505,2122,2510,3303,3928,2129,835,864,450,349,764,1288
"Carson City, NV Metro Area",1002,708,941,1882,2711,2622,4079,2082,872,1206,445,338,1901,1530
"Casper, WY Metro Area",1683,1108,2758,2026,4768,5875,7907,2817,1929,1631,818,213,2256,2230
"Cedar City, UT Micro Area",575,443,690,1173,1456,2084,2948,1886,1393,1423,688,196,1715,1274
"Cedar Rapids, IA Metro Area",4170,3132,6559,10820,15475,20641,21387,9995,5406,4919,2740,1677,10944,9547
"Cedartown, GA Micro Area",790,786,1060,1797,1340,2414,1876,1098,540,821,271,161,1475,1034
"Celina, OH Micro Area",1004,719,1461,1885,1916,2438,2915,1288,607,680,285,99,1858,1750
"Central City, KY Micro Area",671,679,817,1275,1435,1548,1464,651,286,410,152,73,890,893
"Centralia, IL Micro Area",949,566,1050,1427,1723,1871,2349,1166,540,506,272,95,1538,1899
"Centralia, WA Micro Area",2332,1501,1633,1892,2244,3301,3757,2601,1271,1325,599,626,2120,2281
"Chambersburg, PA Micro Area",4380,3583,4774,6628,7136,8825,7873,5594,2209,2563,1304,758,5299,5271
"Champaign-Urbana, IL Metro Area",2581,2041,3018,6285,8957,13285,18336,13666,6701,8107,3625,1966,9028,10012
"Charleston, WV Metro Area",4935,3815,5485,10700,14370,18570,18964,12841,7114,5947,2419,1252,8574,8863
"Charleston-Mattoon, IL Micro Area",1117,899,1282,1906,3225,3060,4750,2228,1105,1416,786,403,3215,2726
"Charleston-North Charleston-Summerville, SC Metro Area",9606,9769,15330,30024,34393,48791,35259,32306,15799,17535,8459,3701,19875,18929
"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",24660,22211,31659,69278,82123,128358,109828,91843,45179,48516,22306,10246,50790,51812
"Charlottesville, VA Metro Area",1964,1335,2572,6099,7205,13046,16237,12611,7690,6386,2454,1262,5215,4464
"Chattanooga, TN-GA Metro Area",8667,6909,10653,17913,23727,35633,32607,23732,11684,11943,5890,2862,17519,18133
"Chester, SC Micro Area",482,498,713,1295,1436,2411,1166,1115,303,527,147,64,1030,839
"Cheyenne, WY Metro Area",2312,1555,2047,3721,6961,6985,7933,3624,1606,1780,1077,507,2280,2887
"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",189940,179994,215653,409907,399504,610934,457500,485613,224637,248152,119050,56754,336035,279240
"Chico, CA Metro Area",3722,2406,4131,5037,7541,10584,11844,7155,4289,5685,3679,1437,5710,6486
"Chillicothe, OH Micro Area",1670,1144,1941,2707,3385,3601,3617,1731,1003,1273,896,342,2739,2497
"Cincinnati-Middletown, OH-KY-IN Metro Area",29515,29663,43535,81079,104599,147296,125990,104961,54679,55868,25242,12698,71241,76618
"Claremont, NH Micro Area",1122,857,1179,2172,2351,3249,2637,2122,865,667,485,230,1580,1115
