GEOID,NAME,UATYPE,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                      
21760,"Curwensville, PA Urban Cluster",C,3997487,77144,1.543,0.030,40.974044,-78.523864                                                                                                   
21772,"Cushing, OK Urban Cluster",C,11410633,4680,4.406,0.002,35.972940,-96.760878                                                                                                        
21799,"Cut Bank, MT Urban Cluster",C,2654207,0,1.025,0.000,48.634096,-112.329923                                                                                                           
21826,"Cuthbert, GA Urban Cluster",C,6077438,13393,2.347,0.005,31.770686,-84.793575                                                                                                       
21853,"Cynthiana, KY Urban Cluster",C,7257288,126157,2.802,0.049,38.385165,-84.295930                                                                                                     
21928,"Dahlgren, VA--MD Urban Cluster",C,16720817,413552,6.456,0.160,38.342418,-77.026456                                                                                                 
21934,"Dahlonega, GA Urban Cluster",C,10686389,22520,4.126,0.009,34.543249,-83.986027                                                                                                     
21961,"Daingerfield, TX Urban Cluster",C,13877184,13203,5.358,0.005,33.005532,-94.644238                                                                                                  
21988,"Dalhart, TX Urban Cluster",C,8267800,4719,3.192,0.002,36.060538,-102.515287                                                                                                         
22015,"Dallas, OR Urban Cluster",C,13783467,0,5.322,0.000,44.921879,-123.309970                                                                                                            
22042,"Dallas--Fort Worth--Arlington, TX Urbanized Area",U,4608177315,93775854,1779.227,36.207,32.812727,-96.972001                                                                           
22069,"Dalton, GA Urbanized Area",U,209327635,201939,80.822,0.078,34.792744,-84.938829                                                                                                     
22079,"Dalton, OH Urban Cluster",C,5692786,150967,2.198,0.058,40.802158,-81.709886                                                                                                        
22096,"Danbury, CT--NY Urbanized Area",U,341036248,9933793,131.675,3.835,41.458333,-73.426042                                                                                               
22110,"Dandridge, TN Urban Cluster",C,22735594,0,8.778,0.000,36.017503,-83.437033                                                                                                         
22177,"Dansville, NY Urban Cluster",C,8507690,0,3.285,0.000,42.562575,-77.700674                                                                                                          
22204,"Danville, IL Urbanized Area",U,77200320,2020816,29.807,0.780,40.118790,-87.633063                                                                                                   
22231,"Danville, KY Urban Cluster",C,38489332,171415,14.861,0.066,37.630164,-84.773308                                                                                                     
22253,"Danville, VA--NC Urban Cluster",C,107839816,1182538,41.637,0.457,36.609291,-79.411192                                                                                               
22285,"Daphne--Fairhope, AL Urbanized Area",U,143090939,595558,55.248,0.230,30.597318,-87.837227                                                                                           
22301,"Darbydale, OH Urban Cluster",C,16256027,390648,6.276,0.151,39.815503,-83.165765                                                                                                    
22312,"Darien, GA Urban Cluster",C,8007083,127434,3.092,0.049,31.385138,-81.422374                                                                                                        
22366,"Davenport, IA--IL Urbanized Area",U,358049935,21099896,138.244,8.147,41.517262,-90.512939                                                                                            
22393,"David City, NE Urban Cluster",C,3371010,4954,1.302,0.002,41.255569,-97.126392                                                                                                      
22420,"Davis, CA Urbanized Area",U,36566830,90331,14.119,0.035,38.553373,-121.738186                                                                                                        
22427,"Davis, OK Urban Cluster",C,4144596,5719,1.600,0.002,34.500734,-97.115753                                                                                                           
22435,"Davis Junction, IL Urban Cluster",C,5662882,0,2.186,0.000,42.095324,-89.084378                                                                                                     
22447,"Dawson, GA Urban Cluster",C,5673734,0,2.191,0.000,31.773622,-84.439882                                                                                                             
22501,"Dayton, NV Urban Cluster",C,16283664,3839,6.287,0.001,39.291252,-119.533488                                                                                                         
22528,"Dayton, OH Urbanized Area",U,910229547,5232489,351.442,2.020,39.754825,-84.168160                                                                                                    
22555,"Dayton, TN Urban Cluster",C,23522422,601110,9.082,0.232,35.488876,-85.015979                                                                                                       
22582,"Dayton, TX Urban Cluster",C,27859218,206249,10.757,0.080,30.067336,-94.891717                                                                                                       
22609,"Dayton, WA Urban Cluster",C,3724096,0,1.438,0.000,46.317707,-117.977920                                                                                                             
22690,"Decatur, AL Urbanized Area",U,151020747,3804730,58.309,1.469,34.559441,-87.001129                                                                                                   
22717,"Decatur, IL Urbanized Area",U,153255418,7905456,59.172,3.052,39.845729,-88.937174                                                                                                   
22744,"Decatur, IN Urban Cluster",C,17743672,52005,6.851,0.020,40.827785,-84.928326                                                                                                       
22771,"Decatur, TX Urban Cluster",C,13073002,0,5.048,0.000,33.229557,-97.590717                                                                                                           
22798,"Decorah, IA Urban Cluster",C,13403481,47090,5.175,0.018,43.304283,-91.782584                                                                                                       
22811,"Dededo--Machanao--Apotgan, GU Urban Cluster",C,156449309,145656,60.405,0.056,13.487734,+144.812946                                                                                   
22825,"Deer Lodge, MT Urban Cluster",C,3807781,0,1.470,0.000,46.397951,-112.732286                                                                                                         
22852,"Deer Park, WA Urban Cluster",C,4988431,0,1.926,0.000,47.955947,-117.468703                                                                                                          
22864,"Deerwood, TX Urban Cluster",C,7007541,20270,2.706,0.008,30.317181,-95.305325                                                                                                       
22879,"Defiance, OH Urban Cluster",C,34981244,1281624,13.506,0.495,41.284480,-84.355116                                                                                                    
22933,"De Funiak Springs, FL Urban Cluster",C,17595479,691086,6.794,0.267,30.733938,-86.130505                                                                                            
22960,"DeKalb, IL Urbanized Area",U,66742216,688305,25.769,0.266,41.954764,-88.726154                                                                                                      
22987,"Delano, CA Urbanized Area",U,25684857,0,9.917,0.000,35.773324,-119.265874                                                                                                           
22995,"Delano, MN Urban Cluster",C,7684897,0,2.967,0.000,45.038421,-93.787214                                                                                                             
23041,"Delavan, WI Urban Cluster",C,20057191,568029,7.744,0.219,42.621413,-88.638026                                                                                                      
23095,"Delhi, LA Urban Cluster",C,4506344,0,1.740,0.000,32.455148,-91.491778                                                                                                              
23102,"Delhi, NY Urban Cluster",C,3545394,42647,1.369,0.016,42.283365,-74.919800                                                                                                          
23122,"Dell Rapids, SD Urban Cluster",C,3767423,0,1.455,0.000,43.827668,-96.716352                                                                                                        
23149,"Delphi, IN Urban Cluster",C,4239338,38981,1.637,0.015,40.587430,-86.677046                                                                                                         
