GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 12:00 a.m. to 4:59 a.m.,Margin of Error; Total: - 12:00 a.m. to 4:59 a.m.,Estimate; Total: - 5:00 a.m. to 5:29 a.m.,Margin of Error; Total: - 5:00 a.m. to 5:29 a.m.,Estimate; Total: - 5:30 a.m. to 5:59 a.m.,Margin of Error; Total: - 5:30 a.m. to 5:59 a.m.,Estimate; Total: - 6:00 a.m. to 6:29 a.m.,Margin of Error; Total: - 6:00 a.m. to 6:29 a.m.,Estimate; Total: - 6:30 a.m. to 6:59 a.m.,Margin of Error; Total: - 6:30 a.m. to 6:59 a.m.,Estimate; Total: - 7:00 a.m. to 7:29 a.m.,Margin of Error; Total: - 7:00 a.m. to 7:29 a.m.,Estimate; Total: - 7:30 a.m. to 7:59 a.m.,Margin of Error; Total: - 7:30 a.m. to 7:59 a.m.,Estimate; Total: - 8:00 a.m. to 8:29 a.m.,Margin of Error; Total: - 8:00 a.m. to 8:29 a.m.,Estimate; Total: - 8:30 a.m. to 8:59 a.m.,Margin of Error; Total: - 8:30 a.m. to 8:59 a.m.,Estimate; Total: - 9:00 a.m. to 9:59 a.m.,Margin of Error; Total: - 9:00 a.m. to 9:59 a.m.,Estimate; Total: - 10:00 a.m. to 10:59 a.m.,Margin of Error; Total: - 10:00 a.m. to 10:59 a.m.,Estimate; Total: - 11:00 a.m. to 11:59 a.m.,Margin of Error; Total: - 11:00 a.m. to 11:59 a.m.,Estimate; Total: - 12:00 p.m. to 3:59 p.m.,Margin of Error; Total: - 12:00 p.m. to 3:59 p.m.,Estimate; Total: - 4:00 p.m. to 11:59 p.m.,Margin of Error; Total: - 4:00 p.m. to 11:59 p.m.
310M100US16020,16020,"Cape Girardeau-Jackson, MO-IL Metro Area",42905,925,1667,319,1496,300,2410,342,4254,459,4889,507,6277,474,6482,477,3421,381,1503,261,2059,285,1362,250,492,162,3168,375,3425,348
310M100US16060,16060,"Carbondale, IL Micro Area",25261,692,491,142,358,135,890,186,1153,214,1803,267,3283,370,4513,450,3026,372,1512,264,1723,317,614,174,437,180,2630,470,2828,358
310M100US16100,16100,"Carlsbad-Artesia, NM Micro Area",22850,799,1525,283,1278,249,1505,274,2122,359,2510,370,3303,448,3928,475,2129,371,835,274,864,212,450,161,349,150,764,229,1288,281
310M100US16180,16180,"Carson City, NV Metro Area",22319,647,1002,219,708,245,941,280,1882,328,2711,429,2622,327,4079,445,2082,339,872,213,1206,228,445,163,338,146,1901,304,1530,376
310M100US16220,16220,"Casper, WY Metro Area",38019,699,1683,273,1108,215,2758,410,2026,319,4768,442,5875,501,7907,523,2817,382,1929,319,1631,226,818,169,213,87,2256,303,2230,323
310M100US16260,16260,"Cedar City, UT Micro Area",17944,675,575,161,443,168,690,195,1173,236,1456,222,2084,291,2948,376,1886,307,1393,268,1423,285,688,189,196,80,1715,301,1274,296
310M100US16300,16300,"Cedar Rapids, IA Metro Area",127412,1247,4170,495,3132,347,6559,531,10820,753,15475,704,20641,859,21387,927,9995,588,5406,505,4919,464,2740,364,1677,274,10944,751,9547,676
310M100US16340,16340,"Cedartown, GA Micro Area",15463,675,790,175,786,212,1060,188,1797,320,1340,292,2414,328,1876,380,1098,296,540,196,821,228,271,108,161,107,1475,363,1034,255
310M100US16380,16380,"Celina, OH Micro Area",18905,363,1004,202,719,121,1461,190,1885,209,1916,244,2438,305,2915,237,1288,218,607,131,680,167,285,87,99,44,1858,266,1750,275
310M100US16420,16420,"Central City, KY Micro Area",11244,635,671,162,679,185,817,188,1275,232,1435,284,1548,244,1464,282,651,150,286,110,410,132,152,88,73,61,890,184,893,261
310M100US16460,16460,"Centralia, IL Micro Area",15951,394,949,171,566,112,1050,181,1427,187,1723,213,1871,222,2349,248,1166,186,540,118,506,116,272,77,95,49,1538,185,1899,212
